-96	96
96	-192
-131	192
192	-288
-192	298
288	-385
-329	481
387	-579
-480	731
576	-866
-703	1053
836	-1226
-978	1442
1151	-1689
-1347	1971
1562	-2276
-1800	2635
2075	-3040
-2379	3468
2721	-3968
-3107	4520
3520	-5129
-3983	5804
4494	-6543
-5055	7370
5686	-8266
-6362	9257
7106	-10344
-7946	11535
8828	-12836
-9814	14262
10891	-15813
-12065	17523
13345	-19371
-14746	21403
16283	-23635
-17974	26063
19816	-28755
-21847	31693
24099	-34958
-26584	38577
29360	-42600
-32451	47127
35958	-52201
-39928	57995
44481	-64655
-49779	72397
56009	-81528
-63467	92502
72593	-105974
-84080	122994
99023	-145241
-119372	175753
148903	-220433
-195932	292389
283274	-428144
-504611	778515
3835920	-5672490
1943020	-4641280
369483	1143220
2015790	2116700
689889	2099130
-1125760	1990570
-1695480	3207480
-27159	2424880
1056340	439368
505892	-2004410
-1589250	-1797780
-1956920	-70208
-920960	505254
-1129190	-825086
-2511690	-286629
-1227250	1139780
1601670	436745
2524930	-1928620
1488130	-2429470
988082	-1443910
962348	-371508
823473	131224
43652	528333
-963507	1480200
-646159	3084880
1234120	2720690
1448190	150555
-619096	-1243610
-1596850	-429805
-680227	-565342
-794916	-1751620
-1867630	-1398260
-1636180	417529
-61550	1485550
1345830	1160870
1654030	-255413
525537	-1432580
-421461	-1212930
287339	-923093
857866	-1811550
-196528	-1491660
-396696	1207780
1335190	3219160
